PREMIUM_ID,CONTRACT_ID,MNT_COTISATION,DT_ENCAISSEMENT,ECHEANCE_DATE
PRM0000001,CTR00001,5942.71,2022-04-08,2022-01-01
PRM0000002,CTR00001,5942.71,2022-07-04,2022-04-01
PRM0000003,CTR00001,11885.42,2022-10-12,2022-07-01
PRM0000004,CTR00001,13498.56,2023-04-08,2023-01-01
PRM0000005,CTR00002,11043.64,2022-04-19,2022-01-01
PRM0000006,CTR00002,11043.64,2022-07-20,2022-04-01
PRM0000007,CTR00002,11043.64,2022-10-08,2022-07-01
PRM0000008,CTR00002,11043.64,2023-01-12,2022-10-01
PRM0000009,CTR00002,11667.43,2023-04-18,2023-01-01
PRM0000010,CTR00002,11667.43,2023-07-08,2023-04-01
PRM0000011,CTR00002,11667.43,2023-10-02,2023-07-01
PRM0000012,CTR00002,23334.86,2024-01-16,2023-10-01
PRM0000013,CTR00002,12289.1,2024-07-20,2024-04-01
PRM0000014,CTR00003,9715.88,2022-04-03,2022-01-01
PRM0000015,CTR00003,9715.88,2022-07-19,2022-04-01
PRM0000016,CTR00003,9715.88,2022-10-01,2022-07-01
PRM0000017,CTR00003,9715.88,2023-01-09,2022-10-01
PRM0000018,CTR00003,9986.39,2023-04-01,2023-01-01
PRM0000019,CTR00003,9986.39,2023-07-10,2023-04-01
PRM0000020,CTR00003,9986.39,2024-01-16,2023-10-01
PRM0000021,CTR00003,11012.75,2024-04-18,2024-01-01
PRM0000022,CTR00003,11012.75,2024-07-15,2024-04-01
PRM0000023,CTR00003,11012.75,2024-10-07,2024-07-01
PRM0000024,CTR00003,11012.75,2025-01-14,2024-10-01
PRM0000025,CTR00003,11269.73,2025-04-08,2025-01-01
PRM0000026,CTR00003,11269.73,2025-07-11,2025-04-01
PRM0000027,CTR00003,11269.73,2025-10-04,2025-07-01
PRM0000028,CTR00004,13046.09,2022-04-10,2022-01-01
PRM0000029,CTR00004,13046.09,2022-07-05,2022-04-01
PRM0000030,CTR00004,13046.09,2022-10-15,2022-07-01
PRM0000031,CTR00004,26092.18,2023-01-03,2022-10-01
PRM0000032,CTR00004,13671.22,2023-07-17,2023-04-01
PRM0000033,CTR00004,13671.22,2023-10-11,2023-07-01
PRM0000034,CTR00004,13671.22,2024-01-08,2023-10-01
PRM0000035,CTR00004,31186.04,2024-04-21,2024-01-01
PRM0000036,CTR00005,6061.65,2022-04-01,2022-01-01
PRM0000037,CTR00005,6061.65,2022-07-17,2022-04-01
PRM0000038,CTR00005,6061.65,2022-10-18,2022-07-01
PRM0000039,CTR00005,12123.3,2023-01-03,2022-10-01
PRM0000040,CTR00005,12168.14,2023-07-02,2023-04-01
PRM0000041,CTR00005,6084.07,2024-01-11,2023-10-01
PRM0000042,CTR00005,6148.89,2024-04-05,2024-01-01
PRM0000043,CTR00005,6148.89,2024-07-18,2024-04-01
PRM0000044,CTR00005,6148.89,2024-10-15,2024-07-01
PRM0000045,CTR00005,6148.89,2025-01-01,2024-10-01
PRM0000046,CTR00005,6363.95,2025-04-10,2025-01-01
PRM0000047,CTR00005,6363.95,2025-07-04,2025-04-01
PRM0000048,CTR00005,6363.95,2025-10-11,2025-07-01
PRM0000049,CTR00006,7405.35,2022-04-14,2022-01-01
PRM0000050,CTR00006,7405.35,2022-07-03,2022-04-01
PRM0000051,CTR00006,7405.35,2022-10-17,2022-07-01
PRM0000052,CTR00006,7405.35,2023-01-11,2022-10-01
PRM0000053,CTR00007,2738.93,2023-10-11,2023-07-01
PRM0000054,CTR00007,2738.93,2024-01-11,2023-10-01
PRM0000055,CTR00007,2799.38,2024-04-02,2024-01-01
PRM0000056,CTR00007,2799.38,2024-07-10,2024-04-01
PRM0000057,CTR00007,2799.38,2024-10-10,2024-07-01
PRM0000058,CTR00007,2799.38,2025-01-11,2024-10-01
PRM0000059,CTR00007,2804.51,2025-04-06,2025-01-01
