CONTRACT_ID,COMPANY_ID
CTR00001,CMP00071
CTR00002,CMP00414
CTR00003,CMP00052
CTR00004,CMP00011
CTR00005,CMP00007
CTR00006,CMP00330
CTR00007,CMP00068
CTR00007,CMP00128
CTR00008,CMP00138
CTR00009,CMP00322
CTR00010,CMP00406
CTR00011,CMP00491
CTR00011,CMP00055
CTR00012,CMP00419
CTR00013,CMP00363
CTR00014,CMP00072
CTR00015,CMP00289
CTR00016,CMP00418
CTR00016,CMP00084
CTR00017,CMP00246
CTR00018,CMP00029
CTR00019,CMP00137
CTR00020,CMP00064
CTR00021,CMP00023
CTR00022,CMP00152
CTR00023,CMP00454
CTR00024,CMP00073
CTR00024,CMP00001
CTR00025,CMP00013
CTR00025,CMP00117
CTR00026,CMP00076
CTR00027,CMP00147
CTR00028,CMP00451
CTR00029,CMP00352
CTR00030,CMP00422
CTR00030,CMP00462
CTR00031,CMP00087
CTR00032,CMP00115
CTR00032,CMP00053
CTR00032,CMP00490
CTR00033,CMP00183
CTR00033,CMP00040
CTR00033,CMP00316
CTR00034,CMP00185
CTR00035,CMP00471
CTR00035,CMP00044
CTR00036,CMP00310
CTR00036,CMP00078
CTR00037,CMP00272
CTR00038,CMP00093
CTR00039,CMP00077
CTR00040,CMP00155
CTR00042,CMP00054
CTR00043,CMP00256
CTR00044,CMP00478
CTR00045,CMP00465
CTR00047,CMP00442
CTR00048,CMP00399
CTR00049,CMP00164
CTR00050,CMP00229
CTR00051,CMP00403
CTR00052,CMP00035
CTR00052,CMP00058
CTR00053,CMP00492
CTR00054,CMP00075
CTR00055,CMP00066
CTR00056,CMP00198
CTR00057,CMP00254
CTR00058,CMP00356
CTR00059,CMP00309
CTR00059,CMP00407
CTR00059,CMP00326
CTR00060,CMP00411
CTR00061,CMP00472
CTR00061,CMP00126
CTR00062,CMP00282
CTR00063,CMP00274
CTR00064,CMP00275
CTR00065,CMP00197
CTR00065,CMP00043
CTR00066,CMP00216
CTR00067,CMP00398
CTR00068,CMP00384
CTR00069,CMP00045
CTR00070,CMP00002
CTR00071,CMP00436
CTR00072,CMP00286
CTR00073,CMP00069
CTR00074,CMP00031
CTR00074,CMP00467
CTR00075,CMP00435
CTR00076,CMP00420
CTR00077,CMP00236
CTR00078,CMP00437
CTR00079,CMP00477
CTR00080,CMP00125
CTR00080,CMP00108
CTR00081,CMP00383
CTR00082,CMP00493
CTR00083,CMP00074
CTR00084,CMP00014
CTR00085,CMP00218
CTR00086,CMP00360
CTR00087,CMP00298
CTR00088,CMP00429
CTR00089,CMP00081
CTR00090,CMP00188
CTR00092,CMP00292
CTR00093,CMP00214
CTR00094,CMP00241
CTR00095,CMP00384
CTR00096,CMP00486
CTR00097,CMP00211
CTR00098,CMP00228
CTR00100,CMP00057
CTR00101,CMP00452
CTR00103,CMP00258
CTR00104,CMP00203
CTR00105,CMP00349
CTR00105,CMP00486
CTR00106,CMP00284
CTR00106,CMP00365
CTR00107,CMP00293
CTR00108,CMP00364
CTR00110,CMP00499
CTR00111,CMP00194
CTR00112,CMP00065
CTR00112,CMP00381
CTR00112,CMP00109
CTR00114,CMP00095
CTR00115,CMP00500
CTR00115,CMP00287
CTR00117,CMP00240
CTR00117,CMP00245
CTR00118,CMP00329
CTR00119,CMP00195
CTR00120,CMP00412
CTR00122,CMP00056
CTR00123,CMP00186
CTR00124,CMP00434
CTR00125,CMP00123
CTR00126,CMP00278
CTR00128,CMP00388
CTR00129,CMP00097
CTR00129,CMP00283
CTR00130,CMP00476
CTR00134,CMP00248
CTR00134,CMP00024
CTR00134,CMP00025
CTR00135,CMP00484
CTR00138,CMP00100
CTR00139,CMP00201
CTR00141,CMP00346
CTR00142,CMP00209
CTR00143,CMP00258
CTR00144,CMP00397
CTR00145,CMP00301
CTR00147,CMP00437
CTR00148,CMP00083
CTR00149,CMP00238
CTR00150,CMP00321
CTR00151,CMP00368
CTR00152,CMP00111
CTR00153,CMP00335
CTR00154,CMP00083
CTR00155,CMP00257
CTR00155,CMP00265
CTR00155,CMP00374
CTR00156,CMP00268
CTR00157,CMP00175
CTR00157,CMP00230
CTR00158,CMP00174
